text,emotion
This was a shocking moment,surprise
I am scared of what will happen,fear
I love spending time with you,love
This makes me smile a lot,joy
I did not expect this at all,surprise
I am extremely angry right now,anger
I did not expect this at all,surprise
This makes me smile a lot,joy
This situation makes me depressed,sadness
I feel lonely and empty,sadness
I am surprised by the results,surprise
This situation makes me depressed,sadness
I feel very sad today,sadness
This makes me smile a lot,joy
This makes me anxious,fear
I am excited about my success,joy
This situation makes me depressed,sadness
This situation makes me depressed,sadness
This situation makes me depressed,sadness
I feel lonely and empty,sadness
This makes me anxious,fear
I feel very happy today,joy
I am extremely angry right now,anger
I feel afraid and worried,fear
I am scared of what will happen,fear
I love spending time with you,love
I did not expect this at all,surprise
I cannot control my anger,anger
I feel afraid and worried,fear
I feel very happy today,joy
I am surprised by the results,surprise
This was a shocking moment,surprise
I love spending time with you,love
I cannot control my anger,anger
I am extremely angry right now,anger
I feel afraid and worried,fear
This makes me furious,anger
This was a shocking moment,surprise
I cannot control my anger,anger
This makes me furious,anger
I care deeply about my family,love
I love spending time with you,love
I cannot control my anger,anger
This makes me anxious,fear
This was a shocking moment,surprise
I feel very sad today,sadness
This was a shocking moment,surprise
This fills my heart with love,love
I am scared of what will happen,fear
I care deeply about my family,love
I am excited about my success,joy
I am extremely angry right now,anger
I am extremely angry right now,anger
This makes me smile a lot,joy
This makes me smile a lot,joy
This makes me furious,anger
I love spending time with you,love
This fills my heart with love,love
I did not expect this at all,surprise
I did not expect this at all,surprise
This was a shocking moment,surprise
This makes me furious,anger
This fills my heart with love,love
This makes me smile a lot,joy
I feel very happy today,joy
This makes me furious,anger
I love spending time with you,love
I feel lonely and empty,sadness
I care deeply about my family,love
I am excited about my success,joy
I am extremely angry right now,anger
I did not expect this at all,surprise
This makes me furious,anger
I love spending time with you,love
I feel afraid and worried,fear
I feel lonely and empty,sadness
This fills my heart with love,love
I feel very sad today,sadness
This was a shocking moment,surprise
I am scared of what will happen,fear
This makes me furious,anger
I am scared of what will happen,fear
This makes me smile a lot,joy
This makes me smile a lot,joy
I feel lonely and empty,sadness
This fills my heart with love,love
I love spending time with you,love
I am extremely angry right now,anger
I am surprised by the results,surprise
This makes me anxious,fear
This fills my heart with love,love
This was a shocking moment,surprise
I love spending time with you,love
I am scared of what will happen,fear
This makes me smile a lot,joy
This situation makes me depressed,sadness
I cannot control my anger,anger
I am excited about my success,joy
I feel very happy today,joy
This fills my heart with love,love
I feel very happy today,joy
I care deeply about my family,love
This makes me anxious,fear
I did not expect this at all,surprise
I did not expect this at all,surprise
I am extremely angry right now,anger
This makes me smile a lot,joy
I did not expect this at all,surprise
I feel lonely and empty,sadness
This makes me smile a lot,joy
I am extremely angry right now,anger
I am excited about my success,joy
I am surprised by the results,surprise
I care deeply about my family,love
I am extremely angry right now,anger
I cannot control my anger,anger
I feel afraid and worried,fear
I am extremely angry right now,anger
I cannot control my anger,anger
I am excited about my success,joy
This fills my heart with love,love
I care deeply about my family,love
I care deeply about my family,love
This makes me anxious,fear
I am surprised by the results,surprise
I cannot control my anger,anger
I am excited about my success,joy
This makes me smile a lot,joy
This fills my heart with love,love
I love spending time with you,love
I feel very sad today,sadness
I am surprised by the results,surprise
This fills my heart with love,love
This was a shocking moment,surprise
This makes me furious,anger
I love spending time with you,love
I did not expect this at all,surprise
I did not expect this at all,surprise
I am extremely angry right now,anger
I am scared of what will happen,fear
This makes me furious,anger
I feel very sad today,sadness
I feel lonely and empty,sadness
I feel very sad today,sadness
I love spending time with you,love
I feel very sad today,sadness
I am extremely angry right now,anger
This makes me smile a lot,joy
This situation makes me depressed,sadness
I feel very happy today,joy
